asignatura	nota media total
algebra y modelos analiticos	58.07
argumentacion	61.6
artes visuales	65.31
artes visuales: grafica, pintura, escultura	66.99
audiovisuales: fotografia, diaporama, video, cine	66.72
biologia	55.43
celula, genoma y organismo	61.32
ciencias naturales	58.04
ciencias sociales y realidad nacional	58.96
comprension del medio natural, social y cultural	61.75
condicion fisica y motriz asociada a salud y calidad de vida	67.44
deportes y actividades de expresion motriz	66.81
dibujo, grabado, pintura, escultura, instalacion	67.6
educacion fisica y salud	66.22
estudio y comprension de la naturaleza	54.85
estudio y comprension de la sociedad	54.42
evolucion, ecologia y ambiente	59.54
filosofia y psicologia	61.02
filosofia y psicologia electiva	56.03
fisica	52.41
funciones y procesos infinitos	58.59
historia y ciencias sociales	57.95
historia, geografia y ciencias sociales	58.06
idioma extranjero	59.78
idioma extranjero (ingles)	58.69
la ciudad contemporanea	56.66
lengua castellana y comunicacion	56.6
lengua y literatura	54.69
lenguaje y comunicacion	57.58
lenguaje y sociedad	58.84
literario cultural	65.09
literatura e identidad	58.27
matematica	55.97
mecanica	57.48
musica	65.41
problemas del conocimiento	61.47
quimica	53.85
quimica diferenciada	57.37
social comunicativo	65.81
tecnologia	65.39
tecnologia y diseno	67.21
termodinamica	58.28
